Main_Title,Sub_Title,Venue,Fees,Date,Links
The Oxford Adaptive Leadership for Healthcare Management,"Improving Delegation, Managing Resources and Expectations, and Increasing Efficiency",London,"$5,950",29 Dec - 02 Jan 2026,https://glomacs.com/training-course/the-oxford-adaptive-leadership-for-healthcare-management
Energy and Climate Change,Decarbonizing Energy Economies with Renewable Energy,Muscat,"$5,950",05 - 09 Jan 2026,https://glomacs.com/training-course/energy-climate-change
Road Safety Audits & Inspections,View the Road through the Safety Lenses,Dubai,"$5,950",05 - 09 Jan 2026,https://glomacs.com/training-course/road-safety-audits-inspections
Managing Project Risks in the Oil & Gas Industry,Minimising Uncertainties in Highly Complex Environments,Kigali,"$5,950",05 - 09 Jan 2026,https://glomacs.com/training-course/managing-project-risks-in-the-oil-and-gas-industry
Storage & Handling of Toxic Chemicals and Hazardous Materials,Effective Management and Monitoring of Safe Operating Procedures,Dubai,"$5,950",12 - 16 Jan 2026,https://glomacs.com/training-course/storage-handling-of-toxic-chemicals-and-hazardous-materials
Developing and Sustaining an Effective Safety Culture,Delivering our Safety Visions and Beliefs,Al Khobar,"$5,950",12 - 16 Jan 2026,https://glomacs.com/training-course/developing-and-sustaining-an-effective-safety-culture
Road Safety Auditor Team Leader Certification,Accepting Your Leadership Potential through Your Knowledge,Dubai,"$5,950",12 - 16 Jan 2026,https://glomacs.com/training-course/road-safety-auditor-team-leader-certification
Accident and Injury Prevention for Petroleum Workers,"Developing Skills and Knowledge to Identify, Reduce, and Eliminate Oil and Gas-Related Hazards",Dubai,"$5,950",12 - 16 Jan 2026,https://glomacs.com/training-course/accident-and-injury-prevention-for-petroleum-workers
The Oxford Adaptive Leadership for Healthcare Management,"Improving Delegation, Managing Resources and Expectations, and Increasing Efficiency",Barcelona,"$5,950",19 - 23 Jan 2026,https://glomacs.com/training-course/the-oxford-adaptive-leadership-for-healthcare-management
Hazardous Waste Management and Pollution,Contamination & Hazardous Waste - Management & Prevention,Tromso,"$5,950",19 - 23 Jan 2026,https://glomacs.com/training-course/hazardous-waste-management-and-pollution
Environmental and Social Safeguards & Stakeholder Management in Port Expansion Projects,"Focus on Dredging, Dumping (Disposal of dredged material) and Sand Harvesting",Dubai,"$11,900",19 - 30 Jan 2026,https://glomacs.com/training-course/environmental-and-social-safeguards-stakeholder-management-in-port-expansion-projects
Operational Safety Management for Oil & Gas Professionals,Continuing Safe Operations,Kigali,"$5,950",26 - 30 Jan 2026,https://glomacs.com/training-course/operational-safety-management-for-oil-gas-professionals
IMO Model Training Course on OPRC: Level 1 - First Responders,,Dubai,"$5,950",26 - 30 Jan 2026,https://glomacs.com/training-course/imo-model-training-course-on-oprc-level-1-first-responders
Root Cause Analysis (RCA) using Tripod Beta Method,Identify and Remove Underlying Causes of Incidents,Baku,"$5,950",26 - 30 Jan 2026,https://glomacs.com/training-course/root-cause-analysis-using-tripod-beta-method-incident-investigation-and-analysis
Advanced Accident Investigation & Reporting,“If You Think Safety Is Expensive – Try an Accident”,Dubai,"$5,950",02 - 06 Feb 2026,https://glomacs.com/training-course/advanced-accident-investigation-reporting
Process Safety Management,Improving Safety Performance,Dubai,"$5,950",02 - 06 Feb 2026,https://glomacs.com/training-course/process-safety-management
Oil Refinery & Petrochemical Industry Wastewater Treatment,"Process Description, Design Parameters and Operation",Dubai,"$5,950",02 - 06 Feb 2026,https://glomacs.com/training-course/oil-refinery-petrochemical-industry-wastewater-treatment
Sustainability and Carbon Accounting Masterclass,Enabling Inhouse Sustainability Report Generation,Amsterdam,"$5,950",02 - 06 Feb 2026,https://glomacs.com/training-course/sustainability-and-carbon-accounting-masterclass
Instrumentation in Hazardous Areas,,Dubai,"$5,950",09 - 13 Feb 2026,https://glomacs.com/training-course/instrumentation-in-hazardous-areas
Managing Project Risks in the Oil & Gas Industry,Minimising Uncertainties in Highly Complex Environments,Dubai,"$5,950",09 - 13 Feb 2026,https://glomacs.com/training-course/managing-project-risks-in-the-oil-and-gas-industry
Managing Project Risks in the Oil & Gas Industry,Minimising Uncertainties in Highly Complex Environments,Online,"$3,950",09 - 13 Feb 2026,https://glomacs.com/training-course/managing-project-risks-in-the-oil-and-gas-industry
Leadership Training for HSE Compliance Officers,Developing the Next Generation of HSE Compliance Leaders,Dubai,"$5,950",09 - 13 Feb 2026,https://glomacs.com/training-course/leadership-training-for-hse-compliance-officers
Road Safety Leadership and Management,Create a Safe Road Network,Dubai,"$5,950",02 - 06 Mar 2026,https://glomacs.com/training-course/road-safety-leadership-and-management
IMO Model Training Course on OPRC: Level 2 - Supervisors and On-Scene Commanders,,Dubai,"$5,950",02 - 06 Mar 2026,https://glomacs.com/training-course/imo-model-training-course-on-oprc-level-2-supervisors-and-on-scene-commanders
Contractor Safety Management,Control Your Contractors,Dubai,"$5,950",02 - 06 Mar 2026,https://glomacs.com/training-course/contractor-safety-management
